Image Name,Number of Faces Detected,Gender,Gender Confidence (%),Age,Age Confidence (%)
person1.png,1,Male,100.00,25-32,99.84
person10.jpeg,2,Male,100.00,25-32,96.70
person10.jpeg,2,Male,99.24,60-100,72.70
person11.jpeg,1,Female,99.43,15-20,90.67
person12.png,3,Male,99.89,38-43,63.29
person12.png,3,Male,88.93,25-32,95.88
person12.png,3,Error,N/A,N/A,N/A
person13.jpeg,1,Female,99.90,25-32,87.34
person14.webp,1,Male,100.00,25-32,99.98
person15.png,1,Male,100.00,25-32,99.23
person16.jpeg,2,Male,100.00,25-32,99.38
person16.jpeg,2,Male,97.91,25-32,47.35
person17.jpeg,1,Male,100.00,25-32,97.58
person18.png,1,Female,100.00,25-32,92.61
person19.jpg,2,Female,99.97,4-6,96.99
person19.jpg,2,Male,100.00,8-12,93.23
person2.png,1,Female,99.54,8-12,68.53
person20.jpg,1,Female,99.92,25-32,73.82
person21.jpeg,1,Female,99.99,4-6,93.85
person22.jpeg,1,Female,99.97,15-20,75.88
person23.jpeg,1,Female,82.31,25-32,91.42
person24.jpg,2,Male,99.99,25-32,99.98
person24.jpg,2,Male,99.90,38-43,84.66
person25.jpeg,2,Female,98.38,25-32,98.93
person25.jpeg,2,Male,95.72,25-32,91.87
person26.jpg,1,Male,100.00,25-32,95.75
person27.jpeg,2,Female,99.98,15-20,86.65
person27.jpeg,2,Male,95.08,48-53,51.32
person28.jpeg,2,Male,100.00,8-12,66.57
person28.jpeg,2,Female,99.98,25-32,87.18
person29.jpeg,1,Male,100.00,8-12,55.76
person3.png,1,Female,98.12,25-32,70.00
person30.jpeg,1,Female,98.64,25-32,99.82
person31.jpeg,1,Female,99.98,25-32,77.85
person4.png,1,Female,85.87,25-32,96.22
person5.png,2,Male,99.94,15-20,90.57
person5.png,2,Female,55.92,38-43,80.00
person6.png,2,Female,99.46,8-12,63.52
person6.png,2,Male,51.35,8-12,89.69
person7.jpg,2,Female,100.00,25-32,99.85
person7.jpg,2,Male,98.48,4-6,67.02
person8.jpeg,1,Female,99.99,25-32,70.52
person9.png,1,Female,97.02,38-43,69.40
